id_surat,no_surat,nama_surat,nama_surat_arab,ayat,surat,latin,terjemahan,tempat_turun,deskripsi,tema
5684,78,An-Naba',النبأ,12,وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًاۙ,wabanaynaa fawqakum sab'an syidaadaa,"dan Kami membangun di atas kamu tujuh (langit) yang kokoh,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5685,78,An-Naba',النبأ,13,وَّجَعَلْنَا سِرَاجًا وَّهَّاجًاۖ,waja'alnaa siraajan wahhaajaa,"dan Kami menjadikan pelita yang terang-benderang (matahari),",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5686,78,An-Naba',النبأ,14,وَّاَنْزَلْنَا مِنَ الْمُعْصِرٰتِ مَاۤءً ثَجَّاجًاۙ,wa-anzalnaa mina lmu'shiraati maa-an tsajjaajaa,"dan Kami turunkan dari awan, air hujan yang tercurah dengan hebatnya,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5687,78,An-Naba',النبأ,15,لِّنُخْرِجَ بِهٖ حَبًّا وَّنَبَاتًاۙ,linukhrija bihi habban wanabaataa,"untuk Kami tumbuhkan dengan air itu biji-bijian dan tanam-tanaman,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5688,78,An-Naba',النبأ,16,وَّجَنّٰتٍ اَلْفَافًاۗ,wajannaatin lfaafaa,dan kebun-kebun yang rindang.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5689,78,An-Naba',النبأ,17,اِنَّ يَوْمَ الْفَصْلِ كَانَ مِيْقَاتًاۙ,inna yawma lfashli kaana miiqaataa,"Sungguh, hari keputusan adalah suatu waktu yang telah ditetapkan,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5690,78,An-Naba',النبأ,18,يَّوْمَ يُنْفَخُ فِى الصُّوْرِ فَتَأْتُوْنَ اَفْوَاجًاۙ,yawma yunfakhu fii shshuuri fata/tuuna afwaajaa,"(yaitu) pada hari (ketika) sangkakala ditiup, lalu kamu datang berbondong-bondong,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5691,78,An-Naba',النبأ,19,وَّفُتِحَتِ السَّمَاۤءُ فَكَانَتْ اَبْوَابًاۙ,wafutihati ssamaau fakaanat abwaabaa,"dan langit pun dibukalah, maka terdapatlah beberapa pintu,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5692,78,An-Naba',النبأ,20,وَّسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًاۗ,wasuyyirati ljibaalu fakaanat saraabaa,dan gunung-gunung pun dijalankan sehingga menjadi fatamorgana.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5693,78,An-Naba',النبأ,21,اِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًاۙ,inna jahannama kaanat mirshaadaa,"Sungguh, (neraka) Jahanam itu (sebagai) tempat mengintai (bagi penjaga yang mengawasi isi neraka),",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5694,78,An-Naba',النبأ,22,لِّلطّٰغِيْنَ مَاٰبًاۙ,liththaaghiina maaabaa,menjadi tempat kembali bagi orang-orang yang melampaui batas.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5695,78,An-Naba',النبأ,23,لّٰبِثِيْنَ فِيْهَآ اَحْقَابًاۚ,laabitsiina fiihaa ahqaabaa,"Mereka tinggal di sana dalam masa yang lama,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5696,78,An-Naba',النبأ,24,لَا يَذُوْقُوْنَ فِيْهَا بَرْدًا وَّلَا شَرَابًاۙ,laa yadzuuquuna fiihaa bardan walaa syaraabaa,"mereka tidak merasakan kesejukan di dalamnya dan tidak (pula mendapat) minuman,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5697,78,An-Naba',النبأ,25,اِلَّا حَمِيْمًا وَّغَسَّاقًاۙ,illaa hamiiman waghassaaqaa,"selain air yang mendidih dan nanah,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5698,78,An-Naba',النبأ,26,جَزَاۤءً وِّفَاقًاۗ,jazaa-an wifaaqaa,sebagai pembalasan yang setimpal.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5699,78,An-Naba',النبأ,27,اِنَّهُمْ كَانُوْا لَا يَرْجُوْنَ حِسَابًاۙ,innahum kaanuu laa yarjuuna hisaabaa,Sesungguhnya dahulu mereka tidak pernah mengharapkan perhitungan.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5700,78,An-Naba',النبأ,28,وَّكَذَّبُوْا بِاٰيٰتِنَا كِذَّابًاۗ,wakadzdzabuu bi-aayaatinaa kidzdzaabaa,Dan mereka benar-benar mendustakan ayat-ayat Kami.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5701,78,An-Naba',النبأ,29,وَكُلَّ شَيْءٍ اَحْصَيْنٰهُ كِتٰبًاۙ,wakulla syay-in ahsaynaahu kitaabaa,Dan segala sesuatu telah Kami catat dalam suatu Kitab (buku catatan amalan manusia).,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5702,78,An-Naba',النبأ,30,فَذُوْقُوْا فَلَنْ نَّزِيْدَكُمْ اِلَّا عَذَابًا ࣖ,fadzuuquu falan naziidakum illaa 'adzaabaa,Maka karena itu rasakanlah! Maka tidak ada yang akan Kami tambahkan kepadamu selain azab.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5703,78,An-Naba',النبأ,31,اِنَّ لِلْمُتَّقِيْنَ مَفَازًاۙ,inna lilmuttaqiina mafaazaa,"Sungguh, orang-orang yang bertakwa mendapat kemenangan,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5704,78,An-Naba',النبأ,32,حَدَاۤىِٕقَ وَاَعْنَابًاۙ,hadaa-iqa wa-a'naabaa,"(yaitu) kebun-kebun dan buah anggur,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5705,78,An-Naba',النبأ,33,وَّكَوَاعِبَ اَتْرَابًاۙ,wakawaa'iba atraabaa,"dan gadis-gadis montok yang sebaya,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5706,78,An-Naba',النبأ,34,وَّكَأْسًا دِهَاقًاۗ,waka/san dihaaqaa,dan gelas-gelas yang penuh (berisi minuman).,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5707,78,An-Naba',النبأ,35,لَا يَسْمَعُوْنَ فِيْهَا لَغْوًا وَّلَا كِذَّابًا,laa yasma'uuna fiihaa laghwan walaa kidzdzaabaa,Di sana mereka tidak mendengar percakapan yang sia-sia maupun (perkataan) dusta.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5708,78,An-Naba',النبأ,36,جَزَاۤءً مِّنْ رَّبِّكَ عَطَاۤءً حِسَابًاۙ,jazaa-an min rabbika 'athaa-an hisaabaa,"Sebagai balasan dan pemberian yang cukup banyak dari Tuhanmu,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5709,78,An-Naba',النبأ,37,رَّبِّ السَّمٰوٰتِ وَالْاَرْضِ وَمَا بَيْنَهُمَا الرَّحْمٰنِ لَا يَمْلِكُوْنَ مِنْهُ خِطَابًاۚ,rabbi ssamaawaati wal-ardhi wamaa baynahumaa rrahmaani laa yamlikuuna minhu khithaabaa,"Tuhan (yang memelihara) langit dan bumi dan apa yang ada di antara keduanya; Yang Maha Pengasih, mereka tidak mampu berbicara dengan Dia.",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5710,78,An-Naba',النبأ,38,يَوْمَ يَقُوْمُ الرُّوْحُ وَالْمَلٰۤىِٕكَةُ صَفًّاۙ  لَّا يَتَكَلَّمُوْنَ اِلَّا مَنْ اَذِنَ لَهُ الرَّحْمٰنُ وَقَالَ صَوَابًا,yawma yaquumu rruuhu walmalaa-ikatu shaffan laa yatakallamuuna illaa man adzina lahu rrahmaanu waqaala shawaabaa,"Pada hari, ketika ruh dan para malaikat berdiri bersaf-saf, mereka tidak berkata-kata, kecuali siapa yang telah diberi izin kepadanya oleh Tuhan Yang Maha Pengasih dan dia hanya mengatakan yang benar.",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5711,78,An-Naba',النبأ,39,ذٰلِكَ الْيَوْمُ الْحَقُّۚ فَمَنْ شَاۤءَ اتَّخَذَ اِلٰى رَبِّهٖ مَاٰبًا,dzaalika lyawmu lhaqqu faman syaa-a ittakhadza ilaa rabbihi maaabaa,"Itulah hari yang pasti terjadi. Maka barang siapa menghendaki, niscaya dia menempuh jalan kembali kepada Tuhannya.",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5712,78,An-Naba',النبأ,40,اِنَّآ اَنْذَرْنٰكُمْ عَذَابًا قَرِيْبًا ەۙ يَّوْمَ يَنْظُرُ الْمَرْءُ مَا قَدَّمَتْ يَدَاهُ وَيَقُوْلُ الْكٰفِرُ يٰلَيْتَنِيْ كُنْتُ تُرَابًا ࣖ,innaa andzarnaakum 'adzaaban qariiban yawma yanzhuru lmaru maa qaddamat yadaahu wayaquulu lkaafiru yaa laytanii kuntu turaabaa,"Sesungguhnya Kami telah memperingatkan kepadamu (orang kafir) azab yang dekat, pada hari manusia melihat apa yang telah diperbuat oleh kedua tangannya; dan orang kafir berkata, “Alangkah baiknya seandainya dahulu aku jadi tanah.”",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5713,79,An-Nazi'at,النّٰزعٰت,1,وَالنّٰزِعٰتِ غَرْقًاۙ,wannaazi'aati gharqaa,Demi (malaikat) yang mencabut (nyawa) dengan keras.,mekah,"Surat An NaaziÂ´aat terdiri atas 46 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat An NabaÂ´. Dinamai An NaaziÂ´aat diambil dari perkataan An NaaziÂ´aat yang terdapat pada ayat pertama surat ini. Dinamai pula as Saahirah yang diambil dari ayat 14, dinamai juga Ath Thaammah diambil dari ayat 34.",Malaikat Yang Mencabut
5714,79,An-Nazi'at,النّٰزعٰت,2,وَّالنّٰشِطٰتِ نَشْطًاۙ,wannaasyithaati nasythaa,Demi (malaikat) yang mencabut (nyawa) dengan lemah lembut.,mekah,"Surat An NaaziÂ´aat terdiri atas 46 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat An NabaÂ´. Dinamai An NaaziÂ´aat diambil dari perkataan An NaaziÂ´aat yang terdapat pada ayat pertama surat ini. Dinamai pula as Saahirah yang diambil dari ayat 14, dinamai juga Ath Thaammah diambil dari ayat 34.",Malaikat Yang Mencabut
5715,79,An-Nazi'at,النّٰزعٰت,3,وَّالسّٰبِحٰتِ سَبْحًاۙ,wassaabihaati sabhaa,"Demi (malaikat) yang turun dari langit dengan cepat,",mekah,"Surat An NaaziÂ´aat terdiri atas 46 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat An NabaÂ´. Dinamai An NaaziÂ´aat diambil dari perkataan An NaaziÂ´aat yang terdapat pada ayat pertama surat ini. Dinamai pula as Saahirah yang diambil dari ayat 14, dinamai juga Ath Thaammah diambil dari ayat 34.",Malaikat Yang Mencabut
5716,79,An-Nazi'at,النّٰزعٰت,4,فَالسّٰبِقٰتِ سَبْقًاۙ,fassaabiqaati sabqaa,"dan (malaikat) yang mendahului dengan kencang,",mekah,"Surat An NaaziÂ´aat terdiri atas 46 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat An NabaÂ´. Dinamai An NaaziÂ´aat diambil dari perkataan An NaaziÂ´aat yang terdapat pada ayat pertama surat ini. Dinamai pula as Saahirah yang diambil dari ayat 14, dinamai juga Ath Thaammah diambil dari ayat 34.",Malaikat Yang Mencabut
